job-title,location,type,categories,dated posted,aaply link
"Expert, Manhattan Active TMS","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,02/19/2026,https://careers-se.icims.com/jobs/108464/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - Production,"Hyderabad, Telangana
India",Onsite,Industrial / Manufacturing,04/08/2026,https://careers-se.icims.com/jobs/104834/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Industrial Quality Leader,"Bangalore, Karnataka
India",Hybrid,Customer Satisfaction and Quality,05/04/2026,https://careers-se.icims.com/jobs/114356/login?iis=Job%20Board&iisn=linkedin&src=linkedin
General Project Engineering  - Entry Professional,"Maharashtra
India",Onsite,Technical,08/22/2025,https://careers-se.icims.com/jobs/95099/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Expert, ERP Business Analyst","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,04/14/2026,https://careers-se.icims.com/jobs/114489/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Devops Engineer,Multiple,Hybrid,Technical,02/25/2026,https://careers-se.icims.com/jobs/109369/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Consulting BD,"Kolkatta, West Bengal
India",Onsite,Sales,04/29/2026,https://careers-se.icims.com/jobs/115477/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Sales Excellence,Multiple,Hybrid,Sales,03/24/2026,https://careers-se.icims.com/jobs/102892/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Commissioning,"Mumbai, Maharashtra
India",Onsite,Customer Projects & Services,04/02/2026,https://careers-se.icims.com/jobs/101350/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Installed Base Service Engineer,"Mumbai, Maharashtra
India",Onsite,Customer Projects & Services,04/14/2026,https://careers-se.icims.com/jobs/112807/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Test Automation Engineer: Software,Multiple,Hybrid,Technical,01/19/2026,https://careers-se.icims.com/jobs/104977/login?iis=Job%20Board&iisn=linkedin&src=linkedin
AI Tools - Business Analyst,"Bangalore, Karnataka
India",Hybrid,Innovation and Technology,05/19/2026,https://careers-se.icims.com/jobs/114348/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Principal, Sales & Marketing Digital Project Manager",India,Hybrid,Digital Innovation & Technology,04/01/2026,https://careers-se.icims.com/jobs/113438/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Expert, AI Engineering","Bangalore, Karnataka
India",Hybrid,Technical,05/20/2026,https://careers-se.icims.com/jobs/111897/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Drives Commissioning & Testing,"Mumbai, Maharashtra
India",Onsite,Industrial / Manufacturing,05/07/2026,https://careers-se.icims.com/jobs/115566/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager- Manufacturing Quality Assurance,"Bangalore, Karnataka
India",Onsite,Customer Satisfaction & Quality,01/28/2026,https://careers-se.icims.com/jobs/106922/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Test Campaign Leader,"Bangalore, Karnataka
India",Hybrid,Technical,05/22/2026,https://careers-se.icims.com/jobs/108370/login?iis=Job%20Board&iisn=linkedin&src=linkedin
PP InT - QVE Technical Lead Engineer (FD Products),"Bangalore, Karnataka
India",Hybrid,Technical,12/10/2025,https://careers-se.icims.com/jobs/103550/login?iis=Job%20Board&iisn=linkedin&src=linkedin
SGM - E&C Segment,"Mumbai, Maharashtra
India",Hybrid,Sales,05/12/2026,https://careers-se.icims.com/jobs/111123/login?iis=Job%20Board&iisn=linkedin&src=linkedin
General Field Sales & Account Management - Senior Professional,"Kolkatta, West Bengal
India",Onsite,Sales,05/19/2026,https://careers-se.icims.com/jobs/117485/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Services Sales BD - Kolkata,"Kolkatta, West Bengal
India",Hybrid,Sales,04/27/2026,https://careers-se.icims.com/jobs/115454/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Integration (Electronic and Mechanical) Engineering - Experienced Professional,"Bangalore, Karnataka
India",Onsite,Technical,05/22/2026,https://careers-se.icims.com/jobs/117626/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Commissioning,"Mumbai, Maharashtra
India",Onsite,Customer Projects & Services,04/02/2026,https://careers-se.icims.com/jobs/104894/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Service Strategy & Digital Transformation - Chennai,"Chennai, Tamil Nadu
India",Hybrid,Sales,02/18/2026,https://careers-se.icims.com/jobs/109118/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - Production,"Ahmednagar, Maharashtra
India",Onsite,Customer Satisfaction & Quality,05/17/2026,https://careers-se.icims.com/jobs/115792/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Lead, DCR Application Analyst","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,04/17/2026,https://careers-se.icims.com/jobs/107191/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Retail Cluster Lead (Bhubaneswar),"Bhubaneshwar, Orissa
India",Onsite,Sales,02/23/2026,https://careers-se.icims.com/jobs/109463/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Build and Release Manager,"Gurgaon, Haryana
India",Hybrid,Technical,03/24/2026,https://careers-se.icims.com/jobs/112235/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Senior, Finance Application Analyst","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,02/09/2026,https://careers-se.icims.com/jobs/108149/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Testing Engineer- Cooling,"Bangalore, Karnataka
India",Onsite,Technical,03/21/2026,https://careers-se.icims.com/jobs/112369/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Sr. Manager -Procurement - Effectiveness,"Bangalore, Karnataka
India",Hybrid,Procurement,04/30/2026,https://careers-se.icims.com/jobs/114759/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager/Sr.Manager-Upstream Planning,"Bangalore, Karnataka
India",Onsite,Supply Chain Planning,05/15/2026,https://careers-se.icims.com/jobs/113909/login?iis=Job%20Board&iisn=linkedin&src=linkedin
HCM Integration Lead,"Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,03/10/2026,https://careers-se.icims.com/jobs/94765/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Full stack Developer - Node.JS and Angular,"Bangalore, Karnataka
India",Hybrid,Technical,03/05/2026,https://careers-se.icims.com/jobs/110025/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manufacturing Production Planning & Control - Experienced Professional,"Ahmednagar, Maharashtra
India",Onsite,Industrial / Manufacturing,03/16/2026,https://careers-se.icims.com/jobs/109123/login?iis=Job%20Board&iisn=linkedin&src=linkedin
GM-Methods,"Bangalore, Karnataka
India",Onsite,Industrial / Manufacturing,05/14/2026,https://careers-se.icims.com/jobs/115932/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Software Principal Technical Expert,"Bangalore, Karnataka
India",Hybrid,Technical,04/20/2026,https://careers-se.icims.com/jobs/106715/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior General Manager Segment Marketing,"Gurgaon, Haryana
India",Hybrid,Marketing and Communication,05/21/2026,https://careers-se.icims.com/jobs/106540/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - Product Management & Marketing (Controlgear),"Mumbai, Maharashtra
India",Hybrid,Marketing and Communication,03/06/2026,https://careers-se.icims.com/jobs/111108/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Repair & Maintenance Engineering - Experienced Professional,"Vadodara, Gujarat
India",Onsite,Customer Projects & Services,04/13/2026,https://careers-se.icims.com/jobs/114466/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM Business Development– Software Solutions,Multiple,Hybrid,Sales,05/15/2026,https://careers-se.icims.com/jobs/116984/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Project Manager – SAP Transformation,India,Hybrid,Innovation and Technology,05/11/2026,https://careers-se.icims.com/jobs/113881/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Business Process Quality,"Jamnagar, Gujarat
India",Onsite,Customer Satisfaction & Quality,04/24/2026,https://careers-se.icims.com/jobs/114096/login?iis=Job%20Board&iisn=linkedin&src=linkedin
General Project Engineering  - Experienced Professional,"Ahmednagar, Maharashtra
India",Onsite,Technical,04/24/2026,https://careers-se.icims.com/jobs/106190/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy Manager -Service Strategy & Digital Transformation - Delhi,"New Delhi, Delhi
India",Onsite,Sales,05/20/2026,https://careers-se.icims.com/jobs/117755/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Plant Finance Controller – ETO Business Finance,"Vadodara, Gujarat
India",Onsite,Finance,05/08/2026,https://careers-se.icims.com/jobs/116454/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Panel Manufacturing,"Bangalore, Karnataka
India",Hybrid,Industrial / Manufacturing,05/12/2026,https://careers-se.icims.com/jobs/109593/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - Site Services,"Mumbai, Maharashtra
India",Onsite,"Customer Projects, Solutions and Services",05/21/2026,https://careers-se.icims.com/jobs/117883/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager- System Application Expert (SAE),"Gurgaon, Haryana
India",Onsite,Sales,02/07/2026,https://careers-se.icims.com/jobs/107502/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Lead, Design Simulation Application Engineer","Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,05/08/2026,https://careers-se.icims.com/jobs/116539/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Scrum Product Ownership - Expert Professional,"Bangalore, Karnataka
India",Hybrid,Marketing,04/17/2026,https://careers-se.icims.com/jobs/113256/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Technical Leader- Hardware,"Bangalore, Karnataka
India",Hybrid,"Customer Projects, Solutions and Services",02/13/2026,https://careers-se.icims.com/jobs/105652/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager - E2E Commercial,"Vadodara, Gujarat
India",Hybrid,Customer Projects & Services,05/15/2026,https://careers-se.icims.com/jobs/117439/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - UFS,"Bangalore, Karnataka
India",Onsite,Supply Chain Planning,05/22/2026,https://careers-se.icims.com/jobs/114717/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Installed Base Service Engineer,"Jamnagar, Gujarat
India",Onsite,Customer Projects & Services,04/14/2026,https://careers-se.icims.com/jobs/112823/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Offer Industrialization Lead,"Bangalore, Karnataka
India",Onsite,Industrial / Manufacturing,04/15/2026,https://careers-se.icims.com/jobs/113418/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager Agri sales -Kurnool / Anantapur location,"Andhra Pradesh
India",Hybrid,Sales,02/14/2026,https://careers-se.icims.com/jobs/108210/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Design Engineer -Power Electronics – DCS QVE,"Bangalore, Karnataka
India",Hybrid,Technical,02/27/2026,https://careers-se.icims.com/jobs/110308/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Expert, ECommerce Technical Lead",India,Hybrid,Technical,03/27/2026,https://careers-se.icims.com/jobs/110636/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - Commissioning,"Mumbai, Maharashtra
India",Onsite,"Customer Projects, Solutions and Services",03/17/2026,https://careers-se.icims.com/jobs/112046/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Expert -Test Engineer,"Bangalore, Karnataka
India",Onsite,Technical,02/18/2026,https://careers-se.icims.com/jobs/108752/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Installed Base Service Engineer,Multiple,Onsite,Customer Projects & Services,03/07/2026,https://careers-se.icims.com/jobs/110620/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Data Risk Manager,Multiple,Hybrid,Digital Innovation & Technology,03/20/2026,https://careers-se.icims.com/jobs/110514/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Sales,"Chennai, Tamil Nadu
India",Hybrid,Sales,03/17/2026,https://careers-se.icims.com/jobs/111497/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Deputy General Manager  - Sales,"Patna, Bihar
India",Onsite,Sales,02/09/2026,https://careers-se.icims.com/jobs/105834/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager -  Sales,"Jaipur, Rajasthan
India",Hybrid,Sales,03/27/2026,https://careers-se.icims.com/jobs/112647/login?iis=Job%20Board&iisn=linkedin&src=linkedin
End User Sales Manager - Area / Region / Greater India,"Bangalore, Karnataka
India",Hybrid,Sales,05/20/2026,https://careers-se.icims.com/jobs/117706/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Service Strategy,"Gurgaon, Haryana
India",Hybrid,General Management,04/30/2026,https://careers-se.icims.com/jobs/116048/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Inventory and Supply planning SME,"Bangalore, Karnataka
India",Hybrid,Supply Chain Planning,04/29/2026,https://careers-se.icims.com/jobs/109618/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Integration (Electronic and Mechanical) Engineering - Senior Professional,"Mumbai, Maharashtra
India",Onsite,Technical,02/06/2026,https://careers-se.icims.com/jobs/105982/login?iis=Job%20Board&iisn=linkedin&src=linkedin
GM Semiconductor (G1) Category Leader,"Bangalore, Karnataka
India",Hybrid,Procurement,04/22/2026,https://careers-se.icims.com/jobs/108620/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Lab Infra Engineer,"Gurgaon, Haryana
India",Onsite,Technical,05/06/2026,https://careers-se.icims.com/jobs/109521/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Performance Leader,"New Delhi, Delhi
India",Onsite,Customer Projects & Services,03/07/2026,https://careers-se.icims.com/jobs/110652/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Warehouse Management - Team Leader (Para-Professionals),"Bangalore, Karnataka
India",Onsite,Logistics,05/22/2026,https://careers-se.icims.com/jobs/117303/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Design For Safety and Reliability leader,Multiple,Onsite,Customer Satisfaction & Quality,03/04/2026,https://careers-se.icims.com/jobs/105092/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Software, Design Engineer","Bangalore, Karnataka
India",Hybrid,Technical,03/24/2026,https://careers-se.icims.com/jobs/107366/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"General Manager- Business Development, Next Gen Automation","Mumbai, Maharashtra
India",Hybrid,Sales,04/30/2026,https://careers-se.icims.com/jobs/108209/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Sr. Manager- Pro-face HMI Sales,Multiple,Hybrid,Sales,03/27/2026,https://careers-se.icims.com/jobs/111267/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Software, Principal Technical Expert - GoLang","Bangalore, Karnataka
India",Hybrid,Technical,05/20/2026,https://careers-se.icims.com/jobs/117854/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Sales,"Pune, Maharashtra
India",Hybrid,Sales,03/06/2026,https://careers-se.icims.com/jobs/111246/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Electrical Design Engineer – High Power UPS & ETO Solutions,"Bangalore, Karnataka
India",Onsite,Technical,05/25/2026,https://careers-se.icims.com/jobs/117572/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - LV Sales -Building Segment - Bhubaneshwar - EZ,"Bhubaneshwar, Orissa
India",Onsite,Sales,03/07/2026,https://careers-se.icims.com/jobs/109866/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Offer Data Domain Leader,"Bangalore, Karnataka
India",Hybrid,Digital Innovation & Technology,03/13/2026,https://careers-se.icims.com/jobs/112005/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Application Design Engineer - Power System Study,Multiple,Hybrid,Customer Projects & Services,04/07/2026,https://careers-se.icims.com/jobs/113412/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Manager – Planning,"Vadodara, Gujarat
India",Onsite,Supply Chain Planning,04/08/2026,https://careers-se.icims.com/jobs/113937/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Sr. Mechanical Engineer,"Bangalore, Karnataka
India",Hybrid,Customer Projects & Services,03/18/2026,https://careers-se.icims.com/jobs/111708/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Recruitment Marketing Lead – Global Employer Brand,Multiple,Hybrid,Human Resources,05/19/2026,https://careers-se.icims.com/jobs/110671/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - IA Sales - Mumbai - WZ,"Mumbai, Maharashtra
India",Onsite,Sales,04/21/2026,https://careers-se.icims.com/jobs/113377/login?iis=Job%20Board&iisn=linkedin&src=linkedin
DGM - Sales,"Ahmedabad, Gujarat
India",Hybrid,Sales,05/08/2026,https://careers-se.icims.com/jobs/116730/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Senior Manager - PAE,"Raipur, Chhattisgarh
India",Onsite,Sales,04/16/2026,https://careers-se.icims.com/jobs/114405/login?iis=Job%20Board&iisn=linkedin&src=linkedin
"Electronics Hardware, Senior Design Engineer","Bangalore, Karnataka
India",Onsite,Technical,01/29/2026,https://careers-se.icims.com/jobs/100459/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Supply Chain Performance Leader,"Bangalore, Karnataka
India",Onsite,Industrial / Manufacturing,05/12/2026,https://careers-se.icims.com/jobs/115933/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Key Account Manager,"Pune, Maharashtra
India",Hybrid,Sales,04/15/2026,https://careers-se.icims.com/jobs/109430/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Cyber Security Architect - Senior Professional,"Mumbai, Maharashtra
India",Onsite,Technical,02/09/2026,https://careers-se.icims.com/jobs/104329/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Expert – Governance Applications COE,"Bangalore, Karnataka
India",Hybrid,Innovation and Technology,05/08/2026,https://careers-se.icims.com/jobs/111653/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Offer Quality Leader- HVAC/Cooling,"Bangalore, Karnataka
India",Onsite,Customer Satisfaction & Quality,03/21/2026,https://careers-se.icims.com/jobs/112643/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Planning Digitization Leader,Multiple,Onsite,Supply Chain Planning,03/13/2026,https://careers-se.icims.com/jobs/105107/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Lead -Windchill Developer,"Bangalore, Karnataka
India",Hybrid,Technical,05/15/2026,https://careers-se.icims.com/jobs/106193/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Principle Electrical Engineer - Central Engineering,"Bangalore, Karnataka
India",Hybrid,Customer Projects & Services,04/03/2026,https://careers-se.icims.com/jobs/113715/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Sr. Manager- Supplier Quality Management,"Chennai, Tamil Nadu
India",Onsite,Customer Satisfaction & Quality,04/10/2026,https://careers-se.icims.com/jobs/114243/login?iis=Job%20Board&iisn=linkedin&src=linkedin
Material Productivity  /Costing engineering,"Tamil Nadu
India",Onsite,Industrial / Manufacturing,03/03/2026,https://careers-se.icims.com/jobs/110158/login?iis=Job%20Board&iisn=linkedin&src=linkedin
